wavelength,amplitude
2.496770000000e+03,2.000000000000e+02
2.543230000000e+03,1.000000000000e+03
2.609990000000e+03,1.000000000000e+03
2.634910000000e+03,2.000000000000e+02
2.647010000000e+03,1.000000000000e+03
2.652350000000e+03,1.000000000000e+02
2.707900000000e+03,7.000000000000e+01
2.795780000000e+03,1.300000000000e+02
2.811610000000e+03,3.000000000000e+02
2.821350000000e+03,7.000000000000e+01
3.195200000000e+03,5.000000000000e+02
3.212020000000e+03,7.000000000000e+02
3.237020000000e+03,7.000000000000e+02
4.274970000000e+03,2.000000000000e+02
