percent,R,G,B
0.000000,243,0,243
2.000000,188,0,199
4.000000,200,0,226
6.000000,206,0,249
8.000000,196,0,255
10.000000,166,0,232
12.000000,158,0,241
14.000000,105,0,175
16.000000,82,0,151
18.000000,85,0,211
20.000000,3,0,190
22.000000,0,73,202
24.000000,0,159,212
26.000000,0,192,236
28.000000,0,184,209
30.000000,0,168,70
32.000000,0,177,50
34.000000,0,188,28
36.000000,0,151,2
38.000000,18,157,0
40.000000,0,3,0
42.000000,0,0,0
44.000000,92,178,0
46.000000,130,200,0
48.000000,112,140,0
50.000000,56,56,0
52.000000,136,109,0
54.000000,148,103,0
56.000000,116,73,0
58.000000,177,100,0
60.000000,154,77,0
62.000000,114,53,0
64.000000,0,0,0
66.000000,156,63,0
68.000000,117,44,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,99,3,0
92.000000,133,1,0
94.000000,133,3,0
96.000000,0,0,0
98.000000,67,5,0
100.000000,159,18,0
