percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,130,0,147
6.000000,130,0,157
8.000000,127,0,165
10.000000,136,0,191
12.000000,123,0,188
14.000000,125,0,209
16.000000,105,0,193
18.000000,82,0,204
20.000000,4,0,210
22.000000,0,90,247
24.000000,0,170,227
26.000000,0,207,255
28.000000,0,174,199
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,105,204,0
46.000000,148,228,0
48.000000,185,232,0
50.000000,186,186,0
52.000000,0,0,0
54.000000,190,133,0
56.000000,143,90,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
