wavelength,amplitude
1.822155000000e+03,5.000000000000e+02
1.857296000000e+03,5.000000000000e+02
1.994839000000e+03,5.000000000000e+02
2.002028000000e+03,1.000000000000e+03
2.081172000000e+03,2.500000000000e+02
2.142822000000e+03,7.000000000000e+02
2.147260000000e+03,1.200000000000e+02
2.159864000000e+03,1.400000000000e+01
2.215630000000e+03,1.500000000000e+01
2.255507000000e+03,5.000000000000e+00
2.259034000000e+03,2.000000000000e+01
2.265536000000e+03,5.000000000000e+00
2.383277000000e+03,5.000000000000e+01
2.385792000000e+03,6.000000000000e+01
2.530738000000e+03,5.000000000000e+00
2.677130000000e+03,4.000000000000e+00
3.175147000000e+03,4.000000000000e+00
8.758183000000e+03,1.200000000000e+02
9.722742000000e+03,2.000000000000e+02
9.868920000000e+03,2.000000000000e+01
9.956300000000e+03,2.500000000000e+01
1.005141000000e+04,2.500000000000e+02
1.009101000000e+04,1.500000000000e+02
1.049357000000e+04,3.000000000000e+01
1.091834000000e+04,7.000000000000e+01
1.108956000000e+04,4.000000000000e+02
1.148723000000e+04,2.500000000000e+02
1.324775000000e+04,6.000000000000e+01
1.451351000000e+04,4.000000000000e+01
1.545245000000e+04,6.000000000000e+01
1.554623000000e+04,9.000000000000e+01
1.640390000000e+04,1.400000000000e+02
1.730354000000e+04,8.000000000000e+01
1.829159000000e+04,1.100000000000e+02
2.104373000000e+04,4.000000000000e+01
