wavelength,amplitude
2.848083900000e+03,1.500000000000e+02
2.936084600000e+03,1.500000000000e+02
2.943728800000e+03,1.500000000000e+02
3.116263000000e+03,1.500000000000e+02
3.136216100000e+03,1.500000000000e+02
3.192585600000e+03,9.000000000000e+01
3.195689100000e+03,9.000000000000e+01
3.214380100000e+03,9.000000000000e+01
3.244448800000e+03,2.000000000000e+02
3.257366700000e+03,3.000000000000e+02
3.272026800000e+03,2.000000000000e+02
3.285752500000e+03,2.000000000000e+02
3.301651100000e+03,4.000000000000e+02
3.304238300000e+03,8.000000000000e+02
3.309365400000e+03,2.000000000000e+02
3.330477000000e+03,4.000000000000e+02
3.348768400000e+03,5.000000000000e+02
3.374974900000e+03,4.000000000000e+02
3.380859500000e+03,2.000000000000e+02
3.387920500000e+03,2.000000000000e+02
3.396727800000e+03,3.000000000000e+02
3.398544800000e+03,4.000000000000e+02
3.405558400000e+03,3.000000000000e+02
3.413013000000e+03,4.000000000000e+02
3.421210000000e+03,7.000000000000e+02
3.423989700000e+03,5.000000000000e+02
3.442579000000e+03,2.000000000000e+02
3.451702300000e+03,2.000000000000e+02
3.471218600000e+03,3.000000000000e+02
3.480052500000e+03,1.200000000000e+02
3.486551200000e+03,3.000000000000e+02
3.489184100000e+03,1.500000000000e+02
3.496810700000e+03,1.200000000000e+02
3.498621000000e+03,2.000000000000e+02
3.503785900000e+03,1.200000000000e+02
3.511157400000e+03,2.000000000000e+02
3.518404000000e+03,2.500000000000e+02
3.521059500000e+03,1.200000000000e+02
3.526634200000e+03,1.200000000000e+02
3.531450500000e+03,2.500000000000e+02
3.544017900000e+03,3.000000000000e+02
3.549595900000e+03,3.000000000000e+02
3.551401900000e+03,2.500000000000e+02
3.555013500000e+03,3.000000000000e+02
3.563375600000e+03,2.000000000000e+02
3.569820400000e+03,1.200000000000e+02
3.576557400000e+03,3.000000000000e+02
3.583102200000e+03,1.500000000000e+02
3.589749500000e+03,3.000000000000e+02
3.592779400000e+03,5.000000000000e+02
3.598119900000e+03,5.000000000000e+02
3.608377900000e+03,3.000000000000e+02
3.612427500000e+03,3.000000000000e+02
3.632830300000e+03,2.500000000000e+02
3.635943300000e+03,5.000000000000e+02
3.638644400000e+03,1.200000000000e+02
3.642249000000e+03,4.000000000000e+02
3.649734900000e+03,3.000000000000e+02
3.659629400000e+03,1.500000000000e+02
3.663202500000e+03,4.000000000000e+02
3.668139800000e+03,2.500000000000e+02
3.669968400000e+03,5.000000000000e+02
3.682486300000e+03,2.500000000000e+02
3.690623800000e+03,1.500000000000e+02
3.692566400000e+03,3.000000000000e+02
3.698106100000e+03,3.000000000000e+02
3.706767200000e+03,6.000000000000e+02
3.719434700000e+03,1.000000000000e+03
3.727902700000e+03,2.000000000000e+02
3.757694100000e+03,2.500000000000e+02
3.765240100000e+03,2.000000000000e+02
3.770056000000e+03,3.000000000000e+02
3.776271100000e+03,1.400000000000e+02
3.789167900000e+03,1.500000000000e+02
3.795385800000e+03,1.400000000000e+02
3.803075000000e+03,1.000000000000e+03
3.825133100000e+03,1.300000000000e+02
3.828384600000e+03,8.000000000000e+02
3.836585100000e+03,1.200000000000e+02
3.846887600000e+03,1.500000000000e+02
3.852135300000e+03,1.400000000000e+02
3.869663300000e+03,1.500000000000e+02
3.875373100000e+03,4.000000000000e+02
3.879644100000e+03,2.500000000000e+02
3.886915900000e+03,1.500000000000e+02
3.895419200000e+03,6.000000000000e+02
3.903102400000e+03,2.000000000000e+02
3.911909100000e+03,1.400000000000e+02
3.919023400000e+03,2.000000000000e+02
3.925093400000e+03,2.500000000000e+02
3.932911300000e+03,3.000000000000e+02
3.959300000000e+03,2.000000000000e+02
3.967392100000e+03,7.000000000000e+02
3.972154500000e+03,3.000000000000e+02
3.980089600000e+03,2.500000000000e+02
3.991730900000e+03,2.000000000000e+02
4.008210200000e+03,4.000000000000e+02
4.009057300000e+03,4.000000000000e+02
4.012495200000e+03,5.000000000000e+02
4.027009100000e+03,2.500000000000e+02
4.030842400000e+03,4.000000000000e+02
4.036047900000e+03,4.000000000000e+02
4.048287600000e+03,9.000000000000e+01
4.050887200000e+03,2.000000000000e+02
4.059252900000e+03,2.500000000000e+02
4.063407100000e+03,4.000000000000e+02
4.069461200000e+03,1.500000000000e+02
4.075503000000e+03,9.000000000000e+01
4.081367800000e+03,2.000000000000e+02
4.085434100000e+03,1.400000000000e+02
4.088726400000e+03,1.200000000000e+02
4.100341400000e+03,2.500000000000e+02
4.112754500000e+03,4.000000000000e+02
4.115758900000e+03,5.000000000000e+02
4.127412000000e+03,3.000000000000e+02
4.131002100000e+03,2.000000000000e+02
4.134068100000e+03,3.000000000000e+02
4.158535200000e+03,2.000000000000e+02
4.165766100000e+03,2.500000000000e+02
4.193016400000e+03,2.000000000000e+02
4.210923200000e+03,2.000000000000e+02
4.220065100000e+03,9.000000000000e+01
4.227387200000e+03,9.000000000000e+01
4.235463600000e+03,1.400000000000e+02
4.253538500000e+03,2.000000000000e+02
4.256253700000e+03,1.200000000000e+02
4.260333000000e+03,2.000000000000e+02
4.297306600000e+03,9.000000000000e+01
4.299839300000e+03,1.400000000000e+02
4.307176200000e+03,1.500000000000e+02
4.315254300000e+03,9.000000000000e+01
4.318415700000e+03,2.000000000000e+02
4.337277400000e+03,2.000000000000e+02
4.349072200000e+03,9.000000000000e+01
4.354482400000e+03,9.000000000000e+01
4.359371900000e+03,1.400000000000e+02
4.365930100000e+03,1.400000000000e+02
4.374123900000e+03,1.400000000000e+02
4.392974000000e+03,9.000000000000e+01
4.401581200000e+03,9.000000000000e+01
4.408882800000e+03,1.400000000000e+02
4.458001500000e+03,1.400000000000e+02
4.482169300000e+03,1.300000000000e+02
4.498940100000e+03,2.000000000000e+02
4.505216700000e+03,9.000000000000e+01
4.521193900000e+03,1.200000000000e+02
4.555812700000e+03,1.200000000000e+02
4.570972200000e+03,1.100000000000e+02
4.595420600000e+03,1.300000000000e+02
4.676055500000e+03,1.100000000000e+02
4.723438200000e+03,1.500000000000e+02
5.067973700000e+03,2.000000000000e+02
5.158604100000e+03,1.400000000000e+02
5.160730900000e+03,1.200000000000e+02
5.199163700000e+03,1.500000000000e+02
5.231159700000e+03,2.000000000000e+02
5.343581200000e+03,1.000000000000e+02
5.587026300000e+03,1.000000000000e+02
5.760550800000e+03,1.200000000000e+02
6.169822100000e+03,1.000000000000e+02
6.182621700000e+03,8.000000000000e+01
6.457282400000e+03,1.000000000000e+02
6.462613100000e+03,8.000000000000e+01
6.531341800000e+03,8.000000000000e+01
6.989655300000e+03,9.000000000000e+01
7.168895200000e+03,5.000000000000e+01
7.208006300000e+03,6.000000000000e+01
7.428940500000e+03,4.000000000000e+01
7.647379400000e+03,5.000000000000e+01
7.978973100000e+03,4.000000000000e+01
8.330449400000e+03,5.000000000000e+01
8.967640300000e+03,7.000000000000e+01
9.048250100000e+03,4.000000000000e+01
1.123025470000e+04,5.000000000000e+01
1.212730160000e+04,3.000000000000e+01
1.223194460000e+04,3.000000000000e+01
1.264653470000e+04,3.000000000000e+01
1.542978000000e+04,2.500000000000e+01
1.583175000000e+04,2.500000000000e+01
1.730766000000e+04,2.500000000000e+01
1.738191000000e+04,2.500000000000e+01
1.748104000000e+04,2.500000000000e+01
1.758452000000e+04,2.500000000000e+01
1.881188000000e+04,2.500000000000e+01
