percent,R,G,B
0.000000,248,0,248
2.000000,233,0,247
4.000000,220,0,249
6.000000,211,0,255
8.000000,190,0,247
10.000000,157,0,219
12.000000,143,0,218
14.000000,132,0,220
16.000000,104,0,192
18.000000,80,0,199
20.000000,3,0,174
22.000000,0,59,162
24.000000,0,104,139
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,108,45
32.000000,0,162,46
34.000000,0,185,27
36.000000,0,174,2
38.000000,15,134,0
40.000000,26,107,0
42.000000,0,0,0
44.000000,68,132,0
46.000000,72,112,0
48.000000,103,129,0
50.000000,130,130,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,127,72,0
60.000000,152,76,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,155,63,0
68.000000,149,56,0
70.000000,79,27,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,80,17,0
80.000000,138,26,0
82.000000,0,0,0
84.000000,133,17,0
86.000000,118,11,0
88.000000,0,0,0
90.000000,103,3,0
92.000000,86,0,0
94.000000,0,0,0
96.000000,121,6,0
98.000000,54,4,0
100.000000,0,0,0
