wavelength,amplitude
2.279967000000e+03,2.500000000000e+01
2.305674000000e+03,2.500000000000e+01
2.529871000000e+03,2.500000000000e+01
2.541908000000e+03,2.500000000000e+01
2.593640000000e+03,2.500000000000e+01
2.599904000000e+03,3.000000000000e+01
2.605133000000e+03,4.000000000000e+01
2.611285000000e+03,7.000000000000e+01
2.619933000000e+03,4.000000000000e+01
2.641087000000e+03,8.000000000000e+01
2.644253000000e+03,1.000000000000e+02
2.646625000000e+03,1.200000000000e+02
2.802494000000e+03,3.000000000000e+01
2.912083000000e+03,6.000000000000e+01
2.928327000000e+03,4.000000000000e+01
2.948242000000e+03,1.500000000000e+02
2.956123000000e+03,2.000000000000e+02
2.967225000000e+03,2.500000000000e+01
3.119723000000e+03,9.000000000000e+01
3.123073000000e+03,2.500000000000e+01
3.186451000000e+03,3.000000000000e+02
3.191993000000e+03,4.000000000000e+02
3.199915000000e+03,5.000000000000e+02
3.203825000000e+03,3.000000000000e+01
3.214237000000e+03,3.000000000000e+01
3.292076000000e+03,4.000000000000e+01
3.309497000000e+03,3.000000000000e+01
3.314421000000e+03,1.100000000000e+02
3.341874000000e+03,7.000000000000e+02
3.354633000000e+03,5.000000000000e+02
3.358271000000e+03,4.000000000000e+01
3.360989000000e+03,4.000000000000e+01
3.361266000000e+03,4.000000000000e+01
3.370434000000e+03,1.400000000000e+02
3.371452000000e+03,6.000000000000e+02
3.377486000000e+03,1.500000000000e+02
3.377575000000e+03,4.000000000000e+02
3.379211000000e+03,4.000000000000e+01
3.385660000000e+03,2.000000000000e+01
3.385941000000e+03,2.000000000000e+02
3.480525000000e+03,3.000000000000e+01
3.547028000000e+03,2.500000000000e+01
3.598713000000e+03,2.500000000000e+01
3.610153000000e+03,8.000000000000e+01
3.635462000000e+03,6.000000000000e+02
3.642674000000e+03,8.000000000000e+02
3.646196000000e+03,2.500000000000e+01
3.653495000000e+03,9.000000000000e+02
3.654590000000e+03,4.000000000000e+01
3.658095000000e+03,8.000000000000e+01
3.660629000000e+03,5.000000000000e+01
3.668963000000e+03,5.000000000000e+01
3.671671000000e+03,8.000000000000e+01
3.689914000000e+03,8.000000000000e+01
3.709957000000e+03,4.000000000000e+01
3.717391000000e+03,6.000000000000e+01
3.722570000000e+03,4.000000000000e+01
3.724569000000e+03,8.000000000000e+01
3.729806000000e+03,4.000000000000e+02
3.741060000000e+03,4.000000000000e+02
3.752858000000e+03,7.000000000000e+02
3.753633000000e+03,8.000000000000e+01
3.771651000000e+03,8.000000000000e+01
3.786042000000e+03,1.100000000000e+02
3.866439000000e+03,3.000000000000e+01
3.875257000000e+03,3.000000000000e+01
3.882891000000e+03,6.000000000000e+01
3.900959000000e+03,2.500000000000e+01
3.904784000000e+03,3.000000000000e+02
3.914334000000e+03,6.000000000000e+01
3.921422000000e+03,4.000000000000e+01
3.924526000000e+03,1.400000000000e+02
3.929874000000e+03,1.100000000000e+02
3.947769000000e+03,1.400000000000e+02
3.948670000000e+03,6.000000000000e+02
3.956334000000e+03,6.000000000000e+02
3.958201000000e+03,7.000000000000e+02
3.962851000000e+03,1.200000000000e+02
3.964269000000e+03,1.200000000000e+02
3.981761000000e+03,6.000000000000e+02
3.982480000000e+03,7.000000000000e+01
3.989758000000e+03,7.000000000000e+02
3.998636000000e+03,1.000000000000e+03
4.008927000000e+03,1.200000000000e+02
4.009656000000e+03,2.500000000000e+01
4.024571000000e+03,1.500000000000e+02
