percent,R,G,B
0.000000,198,0,198
2.000000,187,0,199
4.000000,225,0,255
6.000000,183,0,222
8.000000,118,0,153
10.000000,87,0,122
12.000000,155,0,236
14.000000,122,0,204
16.000000,110,0,202
18.000000,97,0,240
20.000000,3,0,204
22.000000,0,67,185
24.000000,0,105,141
26.000000,0,130,160
28.000000,0,159,181
30.000000,0,249,103
32.000000,0,202,57
34.000000,0,183,27
36.000000,0,170,2
38.000000,0,0,0
40.000000,0,0,0
42.000000,49,128,0
44.000000,61,118,0
46.000000,77,118,0
48.000000,55,69,0
50.000000,69,69,0
52.000000,130,104,0
54.000000,145,101,0
56.000000,103,65,0
58.000000,0,0,0
60.000000,111,55,0
62.000000,143,67,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,77,10,0
86.000000,91,9,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
