wavelength,amplitude
6.963000000000e+02,5.000000000000e+02
8.171800000000e+02,3.000000000000e+02
1.162550000000e+03,5.000000000000e+02
1.307500000000e+03,5.000000000000e+02
1.321644000000e+03,8.000000000000e+02
1.561580000000e+03,5.000000000000e+02
1.792827000000e+03,3.000000000000e+02
1.814776000000e+03,4.000000000000e+02
1.881121000000e+03,7.000000000000e+02
1.908617000000e+03,8.000000000000e+02
2.298058000000e+03,1.000000000000e+03
2.530740000000e+03,7.000000000000e+02
3.091570000000e+03,7.000000000000e+02
3.185510000000e+03,5.000000000000e+02
3.186560000000e+03,5.000000000000e+02
3.187740000000e+03,5.000000000000e+02
3.291010000000e+03,5.000000000000e+02
3.369150000000e+03,5.000000000000e+02
4.274980000000e+03,7.000000000000e+02
4.306800000000e+03,1.000000000000e+03
4.737050000000e+03,7.000000000000e+02
4.981350000000e+03,5.000000000000e+02
5.078540000000e+03,8.000000000000e+02
5.152140000000e+03,8.000000000000e+02
5.384850000000e+03,5.000000000000e+02
5.949480000000e+03,8.000000000000e+02
9.130000000000e+03,7.000000000000e+02
