percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,0,0,0
6.000000,0,0,0
8.000000,0,0,0
10.000000,96,0,135
12.000000,167,0,255
14.000000,123,0,206
16.000000,0,0,0
18.000000,0,0,0
20.000000,0,0,0
22.000000,0,68,188
24.000000,0,165,220
26.000000,0,0,0
28.000000,0,148,169
30.000000,0,212,88
32.000000,0,239,67
34.000000,0,233,35
36.000000,0,0,0
38.000000,18,161,0
40.000000,53,213,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,165,132,0
54.000000,232,162,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
