wavelength,amplitude
2.552764000000e+03,4.000000000000e+01
2.596489000000e+03,1.500000000000e+01
2.854166000000e+03,2.000000000000e+01
2.973218000000e+03,5.000000000000e+01
3.081121000000e+03,4.000000000000e+01
3.172654000000e+03,4.000000000000e+01
3.246963000000e+03,3.000000000000e+01
3.349987000000e+03,2.500000000000e+01
3.410048000000e+03,8.000000000000e+01
3.412590000000e+03,3.000000000000e+01
3.416588000000e+03,3.000000000000e+01
3.429332000000e+03,3.000000000000e+01
3.467513000000e+03,2.000000000000e+01
3.476692000000e+03,3.000000000000e+01
3.480975000000e+03,3.000000000000e+01
3.487379000000e+03,4.000000000000e+01
3.499948000000e+03,3.000000000000e+01
3.517598000000e+03,2.500000000000e+01
3.537910000000e+03,4.000000000000e+01
3.555818000000e+03,2.000000000000e+01
3.560916000000e+03,3.000000000000e+01
3.563876000000e+03,4.000000000000e+01
3.567356000000e+03,4.000000000000e+01
3.586067000000e+03,3.000000000000e+01
3.638408000000e+03,4.000000000000e+01
3.717914000000e+03,8.000000000000e+02
3.744064000000e+03,5.000000000000e+02
3.751806000000e+03,1.500000000000e+02
3.798541000000e+03,8.000000000000e+01
3.807719000000e+03,6.000000000000e+01
3.826386000000e+03,3.000000000000e+01
3.840869000000e+03,3.000000000000e+01
3.883132000000e+03,7.000000000000e+02
3.887348000000e+03,5.000000000000e+02
3.896617000000e+03,4.000000000000e+01
3.916477000000e+03,4.000000000000e+02
3.949270000000e+03,1.500000000000e+02
4.024230000000e+03,2.000000000000e+01
4.044474000000e+03,4.000000000000e+01
4.094187000000e+03,1.000000000000e+03
4.105841000000e+03,1.000000000000e+03
4.138334000000e+03,1.100000000000e+02
4.187615000000e+03,9.000000000000e+02
4.203727000000e+03,6.000000000000e+02
4.222671000000e+03,4.000000000000e+01
4.271716000000e+03,2.500000000000e+01
4.298365000000e+03,1.500000000000e+01
4.359928000000e+03,2.500000000000e+02
4.386434000000e+03,1.400000000000e+02
4.394420000000e+03,2.000000000000e+01
4.396495000000e+03,1.400000000000e+01
4.519595000000e+03,1.500000000000e+01
4.599017000000e+03,2.500000000000e+01
4.681920000000e+03,1.500000000000e+01
4.733335000000e+03,7.000000000000e+01
4.957175000000e+03,1.400000000000e+01
5.060895000000e+03,1.500000000000e+01
5.307116000000e+03,6.000000000000e+01
5.631406000000e+03,2.500000000000e+01
5.675835000000e+03,5.000000000000e+01
5.764287000000e+03,2.000000000000e+01
5.971264000000e+03,1.400000000000e+01
6.460261000000e+03,2.000000000000e+01
7.558330000000e+03,1.400000000000e+01
