percent,R,G,B
0.000000,203,0,203
2.000000,234,0,248
4.000000,181,0,204
6.000000,179,0,216
8.000000,196,0,255
10.000000,176,0,247
12.000000,96,0,147
14.000000,121,0,202
16.000000,76,0,141
18.000000,38,0,95
20.000000,2,0,111
22.000000,0,45,125
24.000000,0,99,132
26.000000,0,0,0
28.000000,0,64,73
30.000000,0,82,34
32.000000,0,86,24
34.000000,0,0,0
36.000000,0,80,1
38.000000,15,134,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,23,44,0
46.000000,87,134,0
48.000000,95,118,0
50.000000,85,85,0
52.000000,0,0,0
54.000000,87,61,0
56.000000,37,23,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,94,38,0
68.000000,61,23,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,8,0,0
94.000000,91,2,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
