percent,R,G,B
0.000000,255,0,255
2.000000,235,0,250
4.000000,201,0,228
6.000000,179,0,217
8.000000,150,0,195
10.000000,139,0,195
12.000000,84,0,128
14.000000,120,0,201
16.000000,73,0,134
18.000000,0,0,0
20.000000,0,0,0
22.000000,0,14,38
24.000000,0,102,136
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,123,51
32.000000,0,101,28
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,129,103,0
54.000000,121,85,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,62,17,0
76.000000,114,29,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
