wavelength,amplitude
2.687954000000e+03,3.000000000000e+02
2.700937000000e+03,2.000000000000e+02
2.706174000000e+03,1.400000000000e+02
2.715664000000e+03,1.500000000000e+02
2.891644000000e+03,2.500000000000e+02
2.892433000000e+03,1.400000000000e+02
2.892652000000e+03,2.500000000000e+02
2.893307000000e+03,4.000000000000e+02
2.906454000000e+03,2.500000000000e+02
2.907462000000e+03,1.300000000000e+02
2.908810000000e+03,6.000000000000e+02
2.910016000000e+03,2.000000000000e+02
2.910385000000e+03,1.400000000000e+02
2.911058000000e+03,1.500000000000e+02
2.924017000000e+03,6.000000000000e+02
2.924630000000e+03,4.000000000000e+02
2.930805000000e+03,2.000000000000e+02
2.941372000000e+03,2.500000000000e+02
2.941499000000e+03,1.200000000000e+02
2.944569000000e+03,3.000000000000e+02
2.952068000000e+03,1.500000000000e+02
2.968374000000e+03,1.500000000000e+02
3.093102000000e+03,1.000000000000e+03
3.102292000000e+03,8.000000000000e+02
3.110709000000e+03,7.000000000000e+02
3.118376000000e+03,5.000000000000e+02
3.125282000000e+03,4.000000000000e+02
3.130272000000e+03,1.400000000000e+02
3.133339000000e+03,1.100000000000e+02
3.187717000000e+03,1.100000000000e+02
3.188522000000e+03,1.400000000000e+02
3.190686000000e+03,2.000000000000e+02
3.267702000000e+03,3.000000000000e+02
3.271124000000e+03,2.500000000000e+02
3.276130000000e+03,2.000000000000e+02
3.517296000000e+03,1.500000000000e+02
3.545195000000e+03,1.500000000000e+02
3.556800000000e+03,1.500000000000e+02
3.589763000000e+03,1.500000000000e+02
3.592021000000e+03,1.300000000000e+02
