wavelength,amplitude
2.507782000000e+03,2.000000000000e+01
2.519622000000e+03,2.000000000000e+01
2.526221000000e+03,3.000000000000e+01
2.530183000000e+03,2.000000000000e+01
2.574018000000e+03,2.000000000000e+01
2.864361000000e+03,2.000000000000e+01
2.868095000000e+03,2.000000000000e+01
2.914926000000e+03,3.000000000000e+01
2.923619000000e+03,6.000000000000e+01
2.942319000000e+03,2.000000000000e+01
2.942388000000e+03,2.000000000000e+01
2.943189000000e+03,2.000000000000e+01
2.949629000000e+03,2.000000000000e+01
2.962781000000e+03,3.000000000000e+01
2.977540000000e+03,2.000000000000e+01
3.043119000000e+03,2.000000000000e+01
3.043548000000e+03,2.000000000000e+01
3.044933000000e+03,2.000000000000e+01
3.053653000000e+03,4.000000000000e+01
3.056334000000e+03,1.000000000000e+02
3.060456000000e+03,1.200000000000e+02
3.066374000000e+03,2.000000000000e+02
3.183412000000e+03,2.500000000000e+02
3.183992000000e+03,4.000000000000e+02
3.185385000000e+03,3.000000000000e+02
3.198012000000e+03,4.000000000000e+01
3.202389000000e+03,6.000000000000e+01
3.205577000000e+03,4.000000000000e+01
3.207408000000e+03,4.000000000000e+01
3.212432000000e+03,3.000000000000e+01
3.529733000000e+03,2.000000000000e+01
3.533676000000e+03,5.000000000000e+01
3.592530000000e+03,5.000000000000e+01
3.663604000000e+03,2.000000000000e+01
3.667741000000e+03,2.000000000000e+01
3.673406000000e+03,2.500000000000e+01
3.675699000000e+03,2.500000000000e+01
3.680119000000e+03,2.500000000000e+01
3.683118000000e+03,5.000000000000e+01
3.687498000000e+03,4.000000000000e+01
3.688069000000e+03,1.100000000000e+02
3.690282000000e+03,8.000000000000e+01
3.692222000000e+03,1.200000000000e+02
3.695342000000e+03,4.000000000000e+01
3.695864000000e+03,8.000000000000e+01
3.703574000000e+03,3.000000000000e+02
3.704703000000e+03,1.500000000000e+02
3.705038000000e+03,5.000000000000e+01
3.778675000000e+03,2.000000000000e+01
3.790325000000e+03,4.000000000000e+01
3.794962000000e+03,9.000000000000e+01
3.799907000000e+03,5.000000000000e+01
3.803475000000e+03,5.000000000000e+01
3.807502000000e+03,2.500000000000e+01
3.808517000000e+03,4.000000000000e+01
3.809596000000e+03,2.000000000000e+01
