percent,R,G,B
0.000000,220,0,220
2.000000,213,0,226
4.000000,150,0,169
6.000000,165,0,199
8.000000,196,0,255
10.000000,117,0,164
12.000000,116,0,176
14.000000,149,0,249
16.000000,133,0,245
18.000000,68,0,169
20.000000,3,0,179
22.000000,0,20,57
24.000000,0,0,0
26.000000,0,122,150
28.000000,0,119,136
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,28,55,0
46.000000,94,145,0
48.000000,145,181,0
50.000000,85,85,0
52.000000,0,0,0
54.000000,4,2,0
56.000000,149,94,0
58.000000,167,94,0
60.000000,158,79,0
62.000000,137,64,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
