wavelength,amplitude
2.090480000000e+03,2.000000000000e+02
2.101540000000e+03,1.500000000000e+02
2.182900000000e+03,6.000000000000e+01
2.249800000000e+03,5.000000000000e+01
2.277580000000e+03,6.000000000000e+01
2.294490000000e+03,6.000000000000e+01
2.313170000000e+03,5.000000000000e+01
2.321630000000e+03,5.000000000000e+01
2.360440000000e+03,7.000000000000e+01
2.363070000000e+03,1.000000000000e+02
2.374470000000e+03,6.000000000000e+01
2.384820000000e+03,8.000000000000e+01
2.397730000000e+03,7.000000000000e+01
2.397980000000e+03,7.000000000000e+01
2.405580000000e+03,2.000000000000e+02
2.415680000000e+03,7.000000000000e+01
2.424210000000e+03,1.000000000000e+02
2.431080000000e+03,7.000000000000e+01
2.433980000000e+03,7.000000000000e+01
2.435960000000e+03,2.000000000000e+02
2.444060000000e+03,7.000000000000e+01
2.452000000000e+03,1.000000000000e+02
2.454720000000e+03,5.000000000000e+01
2.454980000000e+03,7.000000000000e+01
2.455510000000e+03,9.000000000000e+01
2.456530000000e+03,9.000000000000e+01
2.459300000000e+03,1.300000000000e+02
2.462790000000e+03,6.000000000000e+01
2.466850000000e+03,1.500000000000e+02
2.472510000000e+03,6.000000000000e+01
2.474150000000e+03,1.400000000000e+02
2.480130000000e+03,1.000000000000e+02
2.480960000000e+03,5.000000000000e+01
2.481440000000e+03,1.500000000000e+02
2.482100000000e+03,6.000000000000e+01
2.484740000000e+03,7.000000000000e+01
2.487500000000e+03,5.000000000000e+01
2.495260000000e+03,7.000000000000e+01
2.504700000000e+03,8.000000000000e+01
2.521320000000e+03,9.000000000000e+01
2.523410000000e+03,9.000000000000e+01
2.527760000000e+03,5.000000000000e+01
2.533640000000e+03,9.000000000000e+01
2.545340000000e+03,7.000000000000e+01
2.547140000000e+03,1.400000000000e+02
2.550380000000e+03,9.000000000000e+01
2.551350000000e+03,3.000000000000e+02
2.553820000000e+03,5.000000000000e+01
2.561970000000e+03,8.000000000000e+01
2.580490000000e+03,1.000000000000e+02
2.606390000000e+03,8.000000000000e+01
2.613080000000e+03,1.100000000000e+02
2.613820000000e+03,6.000000000000e+01
2.620250000000e+03,5.000000000000e+01
2.622210000000e+03,5.000000000000e+01
2.625220000000e+03,5.000000000000e+01
2.632480000000e+03,5.000000000000e+01
2.632700000000e+03,5.000000000000e+01
2.633130000000e+03,9.000000000000e+01
2.638620000000e+03,5.000000000000e+01
2.646180000000e+03,8.000000000000e+01
2.646730000000e+03,5.000000000000e+01
2.656540000000e+03,2.000000000000e+02
2.657380000000e+03,5.000000000000e+01
2.662840000000e+03,9.000000000000e+01
2.671470000000e+03,9.000000000000e+01
2.677280000000e+03,8.000000000000e+01
2.678880000000e+03,5.000000000000e+01
2.681420000000e+03,2.500000000000e+02
2.695670000000e+03,8.000000000000e+01
2.699590000000e+03,8.000000000000e+01
2.700010000000e+03,5.000000000000e+01
2.706580000000e+03,5.000000000000e+01
2.708590000000e+03,5.000000000000e+01
2.708800000000e+03,5.000000000000e+01
2.715500000000e+03,5.000000000000e+01
2.718910000000e+03,2.500000000000e+02
2.724350000000e+03,3.000000000000e+02
2.725030000000e+03,5.000000000000e+01
2.748840000000e+03,8.000000000000e+01
2.762340000000e+03,5.000000000000e+01
2.769740000000e+03,5.000000000000e+01
2.770880000000e+03,9.000000000000e+01
2.774000000000e+03,9.000000000000e+01
2.774480000000e+03,9.000000000000e+01
2.792700000000e+03,9.000000000000e+01
2.799930000000e+03,5.000000000000e+01
2.818060000000e+03,9.000000000000e+01
2.831380000000e+03,2.000000000000e+02
2.833630000000e+03,9.000000000000e+01
2.841570000000e+03,5.000000000000e+01
2.848020000000e+03,9.000000000000e+01
2.856030000000e+03,8.000000000000e+01
2.866060000000e+03,8.000000000000e+01
2.879110000000e+03,7.000000000000e+01
2.879400000000e+03,7.000000000000e+01
2.896010000000e+03,5.000000000000e+01
2.896440000000e+03,1.500000000000e+02
2.935000000000e+03,8.000000000000e+01
2.944400000000e+03,3.000000000000e+02
2.946990000000e+03,3.000000000000e+02
2.947390000000e+03,6.000000000000e+01
2.964520000000e+03,5.000000000000e+01
2.977110000000e+03,6.000000000000e+01
2.979710000000e+03,8.000000000000e+01
2.993610000000e+03,5.000000000000e+01
3.016470000000e+03,6.000000000000e+01
3.017440000000e+03,9.000000000000e+01
3.041730000000e+03,5.000000000000e+01
3.046440000000e+03,5.000000000000e+01
3.049690000000e+03,9.000000000000e+01
3.207250000000e+03,6.000000000000e+01
3.215560000000e+03,1.200000000000e+02
3.300820000000e+03,8.000000000000e+01
3.311380000000e+03,5.000000000000e+01
3.326200000000e+03,5.000000000000e+01
3.331690000000e+03,5.000000000000e+01
3.373750000000e+03,5.000000000000e+01
3.495240000000e+03,5.000000000000e+01
3.545220000000e+03,8.000000000000e+01
3.617520000000e+03,2.000000000000e+02
3.682080000000e+03,8.000000000000e+01
3.683300000000e+03,5.000000000000e+01
3.688060000000e+03,7.000000000000e+01
3.707920000000e+03,9.000000000000e+01
3.757920000000e+03,6.000000000000e+01
3.760130000000e+03,8.000000000000e+01
3.768450000000e+03,1.200000000000e+02
3.780770000000e+03,1.200000000000e+02
3.817480000000e+03,1.500000000000e+02
3.835060000000e+03,1.300000000000e+02
3.846220000000e+03,8.000000000000e+01
3.867990000000e+03,2.000000000000e+02
3.881410000000e+03,8.000000000000e+01
4.008750000000e+03,1.000000000000e+03
4.015220000000e+03,6.000000000000e+01
4.045590000000e+03,1.100000000000e+02
4.069950000000e+03,8.000000000000e+01
4.074360000000e+03,6.000000000000e+02
4.102700000000e+03,1.200000000000e+02
4.137460000000e+03,6.000000000000e+01
4.171170000000e+03,5.000000000000e+01
4.244360000000e+03,6.000000000000e+01
4.269380000000e+03,1.500000000000e+02
4.294610000000e+03,5.000000000000e+02
4.302110000000e+03,2.500000000000e+02
4.484190000000e+03,7.000000000000e+01
4.659870000000e+03,7.000000000000e+01
4.680510000000e+03,7.000000000000e+01
4.843810000000e+03,9.000000000000e+01
5.053280000000e+03,9.000000000000e+01
5.224660000000e+03,9.000000000000e+01
