percent,R,G,B
0.000000,223,0,223
2.000000,202,0,214
4.000000,192,0,217
6.000000,211,0,255
8.000000,170,0,220
10.000000,116,0,163
12.000000,157,0,239
14.000000,110,0,183
16.000000,68,0,125
18.000000,53,0,132
20.000000,2,0,105
22.000000,0,63,173
24.000000,0,9,13
26.000000,0,131,161
28.000000,0,52,60
30.000000,0,123,51
32.000000,0,148,42
34.000000,0,104,15
36.000000,0,155,2
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
