percent,R,G,B
0.000000,0,0,0
2.000000,98,0,104
4.000000,77,0,87
6.000000,130,0,157
8.000000,136,0,176
10.000000,166,0,233
12.000000,144,0,219
14.000000,132,0,220
16.000000,121,0,224
18.000000,74,0,184
20.000000,0,0,18
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,183,225
28.000000,0,147,167
30.000000,0,195,81
32.000000,0,207,58
34.000000,0,192,28
36.000000,0,222,3
38.000000,29,255,0
40.000000,62,250,0
42.000000,91,238,0
44.000000,95,184,0
46.000000,130,201,0
48.000000,174,218,0
50.000000,186,186,0
52.000000,177,141,0
54.000000,234,163,0
56.000000,249,158,0
58.000000,229,130,0
60.000000,178,89,0
62.000000,206,96,0
64.000000,207,90,0
66.000000,125,51,0
68.000000,179,67,0
70.000000,211,73,0
72.000000,153,48,0
74.000000,183,52,0
76.000000,184,46,0
78.000000,196,43,0
80.000000,227,43,0
82.000000,143,23,0
84.000000,186,24,0
86.000000,127,12,0
88.000000,167,11,0
90.000000,100,3,0
92.000000,95,0,0
94.000000,157,3,0
96.000000,143,7,0
98.000000,119,10,0
100.000000,99,11,0
