percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,0,0,0
6.000000,0,0,0
8.000000,0,0,0
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,0,0,0
20.000000,0,0,0
22.000000,0,60,166
24.000000,0,179,238
26.000000,0,207,255
28.000000,0,221,252
30.000000,0,152,63
32.000000,0,115,32
34.000000,0,0,0
36.000000,0,0,0
38.000000,4,35,0
40.000000,31,127,0
42.000000,0,0,0
44.000000,66,127,0
46.000000,56,87,0
48.000000,91,114,0
50.000000,192,192,0
52.000000,196,157,0
54.000000,124,87,0
56.000000,0,0,0
58.000000,148,84,0
60.000000,219,109,0
62.000000,198,92,0
64.000000,178,78,0
66.000000,203,82,0
68.000000,223,84,0
70.000000,146,50,0
72.000000,170,53,0
74.000000,153,43,0
76.000000,200,50,0
78.000000,192,43,0
80.000000,119,22,0
82.000000,180,29,0
84.000000,178,23,0
86.000000,0,0,0
88.000000,75,5,0
90.000000,172,6,0
92.000000,0,0,0
94.000000,148,3,0
96.000000,230,12,0
98.000000,55,4,0
100.000000,130,15,0
