percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,5,0,5
6.000000,185,0,224
8.000000,196,0,255
10.000000,152,0,213
12.000000,111,0,169
14.000000,73,0,122
16.000000,67,0,124
18.000000,68,0,169
20.000000,3,0,156
22.000000,0,67,186
24.000000,0,107,143
26.000000,0,139,170
28.000000,0,82,94
30.000000,0,0,0
32.000000,0,63,17
34.000000,0,86,12
36.000000,0,97,1
38.000000,0,5,0
40.000000,25,100,0
42.000000,58,152,0
44.000000,78,152,0
46.000000,90,138,0
48.000000,66,83,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,96,67,0
56.000000,140,89,0
58.000000,83,47,0
60.000000,155,77,0
62.000000,71,33,0
64.000000,63,27,0
66.000000,145,59,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,85,27,0
74.000000,84,24,0
76.000000,71,18,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
