wavelength,amplitude
2.464500000000e+03,2.500000000000e+01
2.671958000000e+03,2.000000000000e+01
3.305252000000e+03,7.000000000000e+00
3.319412000000e+03,4.000000000000e+00
3.387505000000e+03,8.000000000000e+00
3.418390000000e+03,8.000000000000e+00
3.426044000000e+03,2.000000000000e+01
3.431107000000e+03,1.300000000000e+01
3.452398000000e+03,5.000000000000e+00
3.458391000000e+03,7.000000000000e+00
3.460269000000e+03,2.000000000000e+01
3.464370000000e+03,1.300000000000e+02
3.634525000000e+03,6.000000000000e+00
3.648150000000e+03,4.000000000000e+00
3.655729000000e+03,5.000000000000e+00
3.700580000000e+03,4.000000000000e+00
3.734694000000e+03,1.000000000000e+01
3.770095000000e+03,3.000000000000e+01
3.774323000000e+03,4.000000000000e+00
3.839907000000e+03,9.000000000000e+00
3.872852000000e+03,2.000000000000e+01
3.900850000000e+03,2.000000000000e+01
3.911272000000e+03,8.000000000000e+00
3.987990000000e+03,1.000000000000e+03
3.990885000000e+03,5.000000000000e+01
4.052283000000e+03,4.000000000000e+00
4.089680000000e+03,2.500000000000e+01
4.149066000000e+03,2.500000000000e+01
4.174560000000e+03,7.000000000000e+00
4.231972000000e+03,7.000000000000e+00
4.277738000000e+03,4.000000000000e+00
4.305966000000e+03,7.000000000000e+00
4.439190000000e+03,2.500000000000e+01
4.482422000000e+03,5.000000000000e+00
4.563950000000e+03,5.000000000000e+00
4.576209000000e+03,4.000000000000e+01
4.582355000000e+03,1.100000000000e+01
4.589211000000e+03,4.000000000000e+00
4.590834000000e+03,8.000000000000e+00
4.781867000000e+03,9.000000000000e+00
4.935500000000e+03,4.000000000000e+01
4.966902000000e+03,8.000000000000e+00
5.069144000000e+03,4.000000000000e+00
5.074340000000e+03,1.200000000000e+01
5.211604000000e+03,5.000000000000e+00
5.244110000000e+03,6.000000000000e+00
5.277040000000e+03,8.000000000000e+00
5.539053000000e+03,5.000000000000e+00
5.556466000000e+03,1.300000000000e+02
5.719990000000e+03,1.200000000000e+01
6.489060000000e+03,2.000000000000e+01
6.667820000000e+03,1.000000000000e+01
6.799600000000e+03,4.000000000000e+01
7.699490000000e+03,4.000000000000e+01
