percent,R,G,B
0.000000,133,0,133
2.000000,138,0,147
4.000000,225,0,255
6.000000,192,0,232
8.000000,107,0,139
10.000000,82,0,115
12.000000,64,0,98
14.000000,29,0,49
16.000000,70,0,130
18.000000,48,0,120
20.000000,2,0,153
22.000000,0,0,0
24.000000,0,59,78
26.000000,0,39,48
28.000000,0,123,140
30.000000,0,105,43
32.000000,0,107,30
34.000000,0,39,5
36.000000,0,103,1
38.000000,7,62,0
40.000000,0,0,0
42.000000,31,81,0
44.000000,97,189,0
46.000000,0,0,0
48.000000,80,100,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,84,34,0
68.000000,100,38,0
70.000000,36,12,0
72.000000,87,27,0
74.000000,119,33,0
76.000000,118,30,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,94,5,0
98.000000,133,11,0
100.000000,0,0,0
