wavelength,amplitude
2.025484500000e+03,1.000000000000e+03
2.062001100000e+03,1.000000000000e+03
2.064226600000e+03,4.000000000000e+02
2.099927300000e+03,1.000000000000e+03
2.102166100000e+03,2.000000000000e+02
2.501994500000e+03,3.000000000000e+02
2.557946000000e+03,5.000000000000e+02
3.196310000000e+03,1.000000000000e+02
4.911626900000e+03,8.000000000000e+01
4.924013200000e+03,1.200000000000e+02
5.894360700000e+03,1.000000000000e+02
6.214577800000e+03,4.000000000000e+01
7.478769100000e+03,5.000000000000e+01
7.588464800000e+03,6.000000000000e+01
7.732488600000e+03,4.000000000000e+01
