wavelength,amplitude
2.568871000000e+03,3.000000000000e+02
2.571457000000e+03,4.000000000000e+02
2.678632000000e+03,3.000000000000e+02
2.700129000000e+03,1.300000000000e+02
2.722609000000e+03,2.500000000000e+02
2.732721000000e+03,9.000000000000e+01
2.734851000000e+03,2.500000000000e+02
2.742553000000e+03,2.000000000000e+02
2.745854000000e+03,1.200000000000e+02
2.752202000000e+03,1.200000000000e+02
2.758806000000e+03,9.000000000000e+01
2.825557000000e+03,9.000000000000e+01
2.844575000000e+03,1.200000000000e+02
2.848186000000e+03,4.000000000000e+01
3.028038000000e+03,9.000000000000e+01
3.054833000000e+03,1.200000000000e+02
3.106576000000e+03,1.200000000000e+02
3.129173000000e+03,9.000000000000e+01
3.129760000000e+03,9.000000000000e+01
3.138678000000e+03,1.200000000000e+02
3.164313000000e+03,9.000000000000e+01
3.165977000000e+03,1.500000000000e+02
3.182860000000e+03,1.500000000000e+02
3.214189000000e+03,1.300000000000e+02
3.231692000000e+03,1.100000000000e+02
3.241044000000e+03,1.300000000000e+02
3.272222000000e+03,9.000000000000e+01
3.273047000000e+03,2.000000000000e+02
3.279264000000e+03,2.500000000000e+02
3.284712000000e+03,1.500000000000e+02
3.305152000000e+03,9.000000000000e+01
3.306277000000e+03,1.500000000000e+02
3.340553000000e+03,1.300000000000e+02
3.356087000000e+03,1.300000000000e+02
3.357261000000e+03,9.000000000000e+01
3.387869000000e+03,1.000000000000e+02
3.388295000000e+03,1.300000000000e+02
3.391972000000e+03,1.000000000000e+03
3.393119000000e+03,1.000000000000e+02
3.404827000000e+03,1.000000000000e+02
3.410243000000e+03,1.300000000000e+02
3.430527000000e+03,2.000000000000e+02
3.438231000000e+03,8.000000000000e+02
3.457561000000e+03,7.000000000000e+01
3.463013000000e+03,1.400000000000e+02
3.479387000000e+03,2.000000000000e+02
3.481155000000e+03,2.500000000000e+02
3.483532000000e+03,1.300000000000e+02
3.496206000000e+03,7.000000000000e+02
3.505666000000e+03,1.400000000000e+02
3.525808000000e+03,8.000000000000e+01
3.542621000000e+03,1.100000000000e+02
3.551951000000e+03,3.000000000000e+02
3.556594000000e+03,4.000000000000e+02
3.572468000000e+03,4.000000000000e+02
3.576853000000e+03,2.500000000000e+02
3.587974000000e+03,8.000000000000e+01
3.611891000000e+03,1.200000000000e+02
3.613097000000e+03,2.000000000000e+02
3.614772000000e+03,2.000000000000e+02
3.674715000000e+03,1.400000000000e+02
3.698165000000e+03,1.500000000000e+02
3.709269000000e+03,1.300000000000e+02
3.745947000000e+03,1.000000000000e+02
3.751590000000e+03,1.500000000000e+02
3.836761000000e+03,2.500000000000e+02
3.843018000000e+03,1.000000000000e+02
3.958220000000e+03,1.500000000000e+02
3.991127000000e+03,1.400000000000e+02
3.998965000000e+03,1.400000000000e+02
4.029675000000e+03,7.000000000000e+01
4.045612000000e+03,7.000000000000e+01
4.048666000000e+03,1.100000000000e+02
4.149198000000e+03,2.000000000000e+02
4.161200000000e+03,7.000000000000e+01
4.208980000000e+03,1.100000000000e+02
