percent,R,G,B
0.000000,221,0,221
2.000000,240,0,255
4.000000,198,0,223
6.000000,204,0,247
8.000000,168,0,217
10.000000,165,0,232
12.000000,148,0,226
14.000000,117,0,195
16.000000,55,0,101
18.000000,74,0,183
20.000000,3,0,177
22.000000,0,81,223
24.000000,0,160,213
26.000000,0,149,183
28.000000,0,61,70
30.000000,0,123,51
32.000000,0,172,48
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,175,99,0
60.000000,126,63,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,161,26,0
84.000000,164,21,0
86.000000,90,9,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
